Date,Month Abbr,State,Number of Flights,Positive,Daily Positve Increase,Deaths,Daily Death Increase,Total Tested,Daily Test Increase
2020-07-21,Jul,New Jersey,390,177256,293,15533,23,1817955,15081
2020-07-21,Jul,New York,656,408181,855,25058,2,5230981,66169
2020-07-21,Jul,North Carolina,561,102861,1815,1668,26,1458997,35109
2020-07-21,Jul,Pennsylvania,343,102765,1027,7038,20,1055763,15850
2020-07-21,Jul,Texas,2010,341739,9305,4151,131,3043574,59020
2020-07-21,Jul,Utah,346,35012,486,251,4,475443,6039
2020-07-21,Jul,Washington,545,52290,1084,1453,6,958315,17057
2020-07-22,Jul,Arizona,306,150609,1926,2974,56,813981,6315
2020-07-22,Jul,California,1219,413576,12807,7870,115,6664419,127487
2020-07-22,Jul,Colorado,615,41059,493,1643,28,574162,8863
2020-07-22,Jul,Florida,768,379619,9785,5459,140,3154711,54961
2020-07-22,Jul,Georgia,1661,152302,3314,3335,81,1316844,21553
2020-07-22,Jul,Illinois,1809,166476,1598,7540,23,2349662,39633
2020-07-22,Jul,Maryland,208,80172,627,3405,3,994637,21021
2020-07-22,Jul,Massachuttces,417,114320,287,8468,18,1432182,18328
2020-07-22,Jul,Michigan,597,83730,671,6388,6,1559613,30238
2020-07-22,Jul,Minniesota,418,47961,504,1592,4,888551,11692
2020-07-22,Jul,Nevada,214,38657,1129,704,28,404308,5486
2020-07-22,Jul,New Jersey,383,177645,389,15557,24,1840929,22974
2020-07-22,Jul,New York,714,408886,705,25068,10,5298640,67659
2020-07-22,Jul,North Carolina,544,105001,2140,1698,30,1491820,32823
2020-07-22,Jul,Pennsylvania,344,103396,631,7063,25,1071477,15714
2020-07-22,Jul,Texas,1980,351618,9879,4348,197,3104148,60574
2020-07-22,Jul,Utah,362,35578,566,260,9,481402,5959
2020-07-22,Jul,Washington,513,53306,1016,1465,12,974082,15767
2020-07-23,Jul,Arizona,323,152944,2335,3063,89,822713,8732
2020-07-23,Jul,California,1280,425616,12040,8027,157,6778304,113885
2020-07-23,Jul,Colorado,648,41698,639,1643,0,585551,11389
2020-07-23,Jul,Florida,850,389868,10249,5632,173,3210942,56231
2020-07-23,Jul,Georgia,1622,156588,4286,3360,25,1336938,20094
2020-07-23,Jul,Illinois,1922,168100,1624,7560,20,2389368,39706
2020-07-23,Jul,Maryland,224,80836,664,3409,4,1010681,16044
2020-07-23,Jul,Massachuttces,446,114647,327,8484,16,1452393,20211
2020-07-23,Jul,Michigan,634,84431,701,6395,7,1586724,27111
2020-07-23,Jul,Minniesota,434,48721,760,1601,9,905315,16764
2020-07-23,Jul,Nevada,251,39919,1262,709,5,414136,9828
2020-07-23,Jul,New Jersey,421,177887,242,15581,24,1859638,18709
2020-07-23,Jul,New York,732,409697,811,25081,13,5368338,69698
2020-07-23,Jul,North Carolina,798,106893,1892,1726,28,1523675,31855
2020-07-23,Jul,Pennsylvania,488,104358,962,7079,16,1085617,14140
2020-07-23,Jul,Texas,2222,361125,9507,4521,173,3164656,60508
2020-07-23,Jul,Utah,355,36099,521,267,7,485422,4020
2020-07-23,Jul,Washington,559,54177,871,1468,3,988535,14453
2020-07-24,Jul,Arizona,316,156301,3357,3142,79,836817,14104
2020-07-24,Jul,California,1242,435334,9718,8186,159,6915876,137572
2020-07-24,Jul,Colorado,626,42314,616,1645,2,594731,9180
2020-07-24,Jul,Florida,849,402312,12444,5768,136,3276636,65694
2020-07-24,Jul,Georgia,1743,161401,4813,3442,82,1382444,45506
2020-07-24,Jul,Illinois,1892,169699,1599,7577,17,2433765,44397
2020-07-24,Jul,Maryland,218,81766,930,3422,13,1034901,24220
2020-07-24,Jul,Massachuttces,516,114985,338,8498,14,1469667,17274
2020-07-24,Jul,Michigan,625,85072,641,6400,5,1614646,27922
2020-07-24,Jul,Minniesota,444,49488,767,1606,5,922876,17561
2020-07-24,Jul,Nevada,242,40885,966,722,13,421871,7735
2020-07-24,Jul,New Jersey,405,178345,458,15616,35,1887644,28006
2020-07-24,Jul,New York,732,410450,753,25090,9,5444845,76507
2020-07-24,Jul,North Carolina,733,108995,2102,1746,20,1550297,26622
2020-07-24,Jul,Pennsylvania,488,105571,1213,7101,22,1104948,19331
2020-07-24,Jul,Texas,2192,369826,8701,4717,196,3231931,67275
2020-07-24,Jul,Utah,360,36962,863,273,6,494071,8649
2020-07-24,Jul,Washington,551,54970,793,1482,14,1003710,15175
2020-07-25,Jul,Arizona,311,160041,3740,3286,144,857609,20792
2020-07-25,Jul,California,1255,445400,10066,8337,151,7047355,131479
2020-07-25,Jul,Colorado,636,42980,666,1661,16,608070,13339
2020-07-25,Jul,Florida,820,414511,12199,5894,126,3336377,59741
2020-07-25,Jul,Georgia,1784,165188,3787,3495,53,1407840,25396
2020-07-25,Jul,Illinois,1933,171125,1426,7589,12,2471965,38200
2020-07-25,Jul,Maryland,198,83054,1288,3433,11,1069775,34874
2020-07-25,Jul,Massachuttces,482,115268,283,8510,12,1481044,11377
2020-07-25,Jul,Michigan,583,85072,0,6400,0,1614646,0
2020-07-25,Jul,Minniesota,445,50291,803,1611,5,940696,17820
2020-07-25,Jul,Nevada,210,41816,931,732,10,430521,8650
2020-07-25,Jul,New Jersey,393,178858,513,15627,11,1888157,513
2020-07-25,Jul,New York,652,411200,750,25103,13,5516311,71466
2020-07-25,Jul,North Carolina,801,111092,2097,1778,32,1579042,28745
2020-07-25,Jul,Pennsylvania,369,106625,1054,7114,13,1123330,18382
2020-07-25,Jul,Texas,2136,375846,6020,4885,168,3306042,74111
2020-07-25,Jul,Utah,355,37623,661,274,1,500139,6068
2020-07-25,Jul,Washington,564,55452,482,1495,13,1013279,9569
2020-07-26,Jul,Arizona,453,162014,1973,3305,19,867103,9494
2020-07-26,Jul,California,1989,453659,8259,8416,79,7168139,120784
2020-07-26,Jul,Colorado,870,43789,809,1661,0,624351,16281
2020-07-26,Jul,Florida,1036,423855,9344,5972,78,3386503,50126
2020-07-26,Jul,Georgia,1953,167953,2765,3498,3,1428945,21105
2020-07-26,Jul,Illinois,2170,172666,1541,7590,1,2512809,40844
2020-07-26,Jul,Maryland,274,83748,694,3440,7,1091816,22041
2020-07-26,Jul,Massachuttces,610,115637,369,8529,19,1488394,7350
2020-07-26,Jul,Michigan,680,86661,1589,6400,0,1670744,56098
2020-07-26,Jul,Minniesota,526,51153,862,1614,3,957374,16678
2020-07-26,Jul,Nevada,439,42834,1018,734,2,438922,8401
2020-07-26,Jul,New Jersey,474,179363,505,15639,12,1953289,65132
2020-07-26,Jul,New York,831,411736,536,25106,3,5569879,53568
2020-07-26,Jul,North Carolina,877,112713,1621,1785,7,1613385,34343
2020-07-26,Jul,Pennsylvania,533,107425,800,7118,4,1136201,12871
2020-07-26,Jul,Texas,2457,381656,5810,5038,153,3369975,63933
2020-07-26,Jul,Utah,480,37973,350,274,0,505351,5212
2020-07-26,Jul,Washington,726,55773,321,1494,0,1018223,4944
2020-07-27,Jul,Arizona,423,163827,1813,3304,0,878333,11230
2020-07-27,Jul,California,1833,460550,6891,8445,29,7296578,128439
2020-07-27,Jul,Colorado,845,44336,547,1661,0,635575,11224
2020-07-27,Jul,Florida,1001,432747,8892,6049,77,3431497,44994
2020-07-27,Jul,Georgia,1724,170843,2890,3509,11,1452963,24018
2020-07-27,Jul,Illinois,1923,173897,1231,7608,18,2543376,30567
2020-07-27,Jul,Maryland,261,84876,1128,3447,7,1115211,23395
2020-07-27,Jul,Massachuttces,512,115926,289,8536,7,1510417,22023
2020-07-27,Jul,Michigan,581,87173,512,6405,5,1700489,29745
2020-07-27,Jul,Minniesota,430,51803,650,1616,2,970726,13352
2020-07-27,Jul,Nevada,455,43831,997,739,5,444679,5757
2020-07-27,Jul,New Jersey,412,179812,449,15657,18,1983841,30552
2020-07-27,Jul,New York,781,412344,608,25117,11,5627149,57270
2020-07-27,Jul,North Carolina,609,114338,1625,1790,5,1635476,22091
2020-07-27,Jul,Pennsylvania,395,108264,839,7122,4,1150688,14487
2020-07-27,Jul,Texas,2227,385923,4267,5713,675,3428882,58907
2020-07-27,Jul,Utah,415,38409,436,281,7,509858,4507
2020-07-27,Jul,Washington,613,56746,973,1501,7,1035519,17296
2020-07-28,Jul,Arizona,400,165934,2107,3408,104,890931,12598
2020-07-28,Jul,California,1728,466550,6000,8518,73,7417866,121288
2020-07-28,Jul,Colorado,652,44565,229,1668,7,638968,3393
2020-07-28,Jul,Florida,865,441977,9230,6240,191,3480299,48802
2020-07-28,Jul,Georgia,1598,175052,4209,3563,54,1487326,34363
2020-07-28,Jul,Illinois,1610,174973,1076,7638,30,2571707,28331
2020-07-28,Jul,Maryland,253,85524,648,3458,11,1139155,23944
2020-07-28,Jul,Massachuttces,374,116182,256,8551,15,1536007,25590
2020-07-28,Jul,Michigan,538,87958,785,6421,16,1727882,27393
2020-07-28,Jul,Minniesota,404,52281,478,1620,4,979988,9262
2020-07-28,Jul,Nevada,340,44936,1105,759,20,450886,6207
2020-07-28,Jul,New Jersey,407,180295,483,15679,22,1984304,463
2020-07-28,Jul,New York,672,412878,534,25126,9,5684546,57397
2020-07-28,Jul,North Carolina,423,116087,1749,1820,30,1663540,28064
2020-07-28,Jul,Pennsylvania,326,109384,1120,7146,24,1169160,18472
2020-07-28,Jul,Texas,1899,394265,8342,5877,164,3476926,48044
2020-07-28,Jul,Utah,409,38855,446,286,5,514509,4651
2020-07-28,Jul,Washington,627,57655,909,1518,17,1051622,16103
2020-07-29,Jul,Arizona,376,168273,2339,3454,46,901429,10498
2020-07-29,Jul,California,1628,475305,8755,8715,197,7517466,99600
2020-07-29,Jul,Colorado,681,45314,749,1679,11,656305,17337
2020-07-29,Jul,Florida,769,451423,9446,6457,217,3526765,46466
2020-07-29,Jul,Georgia,1600,178323,3271,3642,79,1512464,25138
2020-07-29,Jul,Illinois,1527,176366,1393,7654,16,2609894,38187
2020-07-29,Jul,Maryland,251,86285,761,3478,20,1154902,15747
2020-07-29,Jul,Massachuttces,356,116684,502,8580,29,1558049,22042
2020-07-29,Jul,Michigan,561,88974,1016,6422,1,1793233,65351
2020-07-29,Jul,Minniesota,390,52947,666,1629,9,993091,13103
2020-07-29,Jul,Nevada,328,45806,870,780,21,457385,6499
2020-07-29,Jul,New Jersey,386,180766,471,15697,18,2042682,58378
2020-07-29,Jul,New York,572,413593,715,25132,6,5746822,62276
2020-07-29,Jul,North Carolina,413,117850,1763,1865,45,1691434,27894
2020-07-29,Jul,Pennsylvania,313,110218,834,7162,16,1184081,14921
2020-07-29,Jul,Texas,1747,403307,9042,6190,313,3539368,62442
2020-07-29,Jul,Utah,374,39194,339,292,6,518191,3682
2020-07-29,Jul,Washington,596,58530,875,1548,30,1066898,15276
2020-07-30,Jul,Arizona,413,170798,2525,3626,172,913266,11837
2020-07-30,Jul,California,1849,485502,10197,8909,194,7633840,116374
2020-07-30,Jul,Colorado,832,45796,482,1688,9,668245,11940
2020-07-30,Jul,Florida,996,461379,9956,6709,252,3579117,52352
2020-07-30,Jul,Georgia,1723,182286,3963,3671,29,1541389,28925
2020-07-30,Jul,Illinois,1816,178138,1772,7670,16,2651028,41134
2020-07-30,Jul,Maryland,285,87177,892,3488,10,1180591,25689
2020-07-30,Jul,Massachuttces,478,117098,414,8595,15,1580970,22921
2020-07-30,Jul,Michigan,596,89781,807,6443,21,1813178,19945
2020-07-30,Jul,Minniesota,438,53692,745,1634,5,1007882,14791
2020-07-30,Jul,Nevada,445,46824,1018,801,21,463645,6260
2020-07-30,Jul,New Jersey,474,180970,204,15708,11,2059564,16882
2020-07-30,Jul,New York,763,414370,777,25145,13,5820368,73546
2020-07-30,Jul,North Carolina,601,120194,2344,1903,38,1724924,33490
2020-07-30,Jul,Pennsylvania,409,111078,860,7176,14,1199937,15856
2020-07-30,Jul,Texas,1952,412107,8800,6274,84,3609474,70106
2020-07-30,Jul,Utah,439,39696,502,300,8,524367,6176
2020-07-30,Jul,Washington,678,59263,733,1555,7,1081486,14588
2020-07-31,Jul,Arizona,423,174010,3212,3694,68,933743,20477
2020-07-31,Jul,California,1831,493588,8086,9005,96,7811041,177201
2020-07-31,Jul,Colorado,845,46204,408,1691,3,678823,10578
2020-07-31,Jul,Florida,965,470386,9007,6966,257,3628088,48971
2020-07-31,Jul,Georgia,1748,186352,4066,3752,81,1574687,33298
2020-07-31,Jul,Illinois,1784,180118,1980,7692,22,2700849,49821
2020-07-31,Jul,Maryland,284,88346,1169,3493,5,1209223,28632
2020-07-31,Jul,Massachuttces,517,117612,514,8609,14,1602496,21526
2020-07-31,Jul,Michigan,609,90574,793,6450,7,1844447,31269
2020-07-31,Jul,Minniesota,444,54463,771,1640,6,1024916,17034
2020-07-31,Jul,Nevada,457,48088,1264,830,29,469903,6258
2020-07-31,Jul,New Jersey,455,181660,690,15719,11,2096329,36765
2020-07-31,Jul,New York,768,415014,644,25150,5,5889237,68869
2020-07-31,Jul,North Carolina,606,122148,1954,1924,21,1757102,32178
2020-07-31,Jul,Pennsylvania,384,112048,970,7189,13,1216872,16935
2020-07-31,Jul,Texas,2164,420946,8839,6569,295,3669752,60278
2020-07-31,Jul,Utah,434,40196,500,304,4,528910,4543
2020-07-31,Jul,Washington,668,59950,687,1564,9,1096302,14816
2020-08-01,Aug,Arizona,405,177002,2992,3747,53,948650,14907
2020-08-01,Aug,California,1938,500130,6542,9224,219,7886587,75546
2020-08-01,Aug,Colorado,732,46809,605,1691,0,691365,12542
2020-08-01,Aug,Florida,934,480028,9642,7144,178,3679443,51355
2020-08-01,Aug,Georgia,1896,190012,3660,3825,73,1596085,21398
2020-08-01,Aug,Illinois,1749,181757,1639,7700,8,2740658,39809
2020-08-01,Aug,Maryland,265,89365,1019,3506,13,1240227,31004
2020-08-01,Aug,Massachuttces,480,118040,428,8626,17,1613551,11055
2020-08-01,Aug,Michigan,629,91332,758,6457,7,1876830,32383
2020-08-01,Aug,Minniesota,454,55188,725,1646,6,1040317,15401
2020-08-01,Aug,Nevada,390,49074,986,832,2,474220,4317
2020-08-01,Aug,New Jersey,419,182029,369,15731,12,2096698,369
2020-08-01,Aug,New York,846,415767,753,25164,14,5971974,82737
2020-08-01,Aug,North Carolina,590,123878,1730,1964,40,1786412,29310
2020-08-01,Aug,Pennsylvania,321,112936,888,7204,15,1232322,15450
2020-08-01,Aug,Texas,2076,430485,9539,6837,268,3747779,78027
2020-08-01,Aug,Utah,445,40702,506,310,6,533260,4350
2020-08-01,Aug,Washington,770,60360,410,1564,0,1105298,8996
2020-08-02,Aug,Arizona,421,178467,1465,3765,18,956428,7778
2020-08-02,Aug,California,2014,509162,9032,9356,132,8035975,149388
2020-08-02,Aug,Colorado,804,47267,458,1691,0,703954,12589
2020-08-02,Aug,Florida,968,487132,7104,7206,62,3720997,41554
2020-08-02,Aug,Georgia,2223,193177,3165,3840,15,1624640,28555
2020-08-02,Aug,Illinois,1748,183224,1467,7714,14,2779603,38945
2020-08-02,Aug,Maryland,274,90274,909,3515,9,1264012,23785
2020-08-02,Aug,Massachuttces,596,118458,418,8638,12,1621729,8178
2020-08-02,Aug,Michigan,712,91761,429,6457,0,1901841,25011
2020-08-02,Aug,Minniesota,499,55947,759,1654,8,1054962,14645
2020-08-02,Aug,Nevada,471,50205,1131,832,0,482119,7899
2020-08-02,Aug,New Jersey,494,182350,321,15737,6,2145878,49180
2020-08-02,Aug,New York,973,416298,531,25170,6,6030935,58961
2020-08-02,Aug,North Carolina,600,125219,1341,1969,5,1813510,27098
2020-08-02,Aug,Pennsylvania,360,113590,654,7209,5,1244569,12247
2020-08-02,Aug,Texas,2141,430485,0,6837,0,3747779,0
2020-08-02,Aug,Utah,490,41175,473,311,1,536716,3456
2020-08-02,Aug,Washington,797,60588,228,1592,28,1110085,4787
2020-08-03,Aug,Arizona,432,179497,1030,3779,14,964418,7990
2020-08-03,Aug,California,2004,514901,5739,9388,32,8184696,148721
2020-08-03,Aug,Colorado,876,47716,449,1691,0,714560,10606
2020-08-03,Aug,Florida,973,491884,4752,7279,73,3752798,31801
2020-08-03,Aug,Georgia,1983,195435,2258,3842,2,1646401,21761
2020-08-03,Aug,Illinois,1990,184522,1298,7723,9,2808078,28475
2020-08-03,Aug,Maryland,281,91144,870,3523,8,1288496,24484
2020-08-03,Aug,Massachuttces,517,118657,199,8648,10,1648689,26960
2020-08-03,Aug,Michigan,684,92374,613,6463,6,1926823,24982
2020-08-03,Aug,Minniesota,509,56560,613,1656,2,1070925,15963
2020-08-03,Aug,Nevada,444,51199,994,847,15,484866,2747
2020-08-03,Aug,New Jersey,414,182614,264,15747,10,2164580,18702
2020-08-03,Aug,New York,945,416843,545,25172,2,6082774,51839
2020-08-03,Aug,North Carolina,485,126532,1313,1982,13,1837410,23900
2020-08-03,Aug,Pennsylvania,395,114155,565,7209,0,1256569,12000
2020-08-03,Aug,Texas,2253,442014,11529,7016,179,3834586,86807
2020-08-03,Aug,Utah,479,41529,354,314,3,540182,3466
2020-08-03,Aug,Washington,764,61428,840,1596,4,1127619,17534
2020-08-04,Aug,Arizona,401,180505,1008,3845,66,971244,6826
2020-08-04,Aug,California,1841,519427,4526,9501,113,8305713,121017
2020-08-04,Aug,Colorado,777,47968,252,1710,19,721921,7361
2020-08-04,Aug,Florida,815,497330,5446,7526,247,3784458,31660
2020-08-04,Aug,Georgia,1801,197948,2513,3921,79,1664412,18011
2020-08-04,Aug,Illinois,1553,185993,1471,7742,19,2850676,42598
2020-08-04,Aug,Maryland,185,91854,710,3530,7,1304873,16377
2020-08-04,Aug,Massachuttces,359,119203,546,8657,9,1673078,24389
2020-08-04,Aug,Michigan,579,93175,801,6471,8,1954415,27592
2020-08-04,Aug,Minniesota,463,57162,602,1660,4,1078695,7770
2020-08-04,Aug,Nevada,355,52179,980,862,15,489087,4221
2020-08-04,Aug,New Jersey,206,182970,356,15758,11,2164936,356
2020-08-04,Aug,New York,533,417589,746,25175,3,6153767,70993
2020-08-04,Aug,North Carolina,404,128161,1629,2010,28,1854026,16616
2020-08-04,Aug,Pennsylvania,257,115009,854,7232,23,1271529,14960
2020-08-04,Aug,Texas,1978,451181,9167,7261,245,3884848,50262
2020-08-04,Aug,Utah,455,41907,378,321,7,544956,4774
2020-08-04,Aug,Washington,770,62267,839,1600,4,1143993,16374
2020-08-05,Aug,Arizona,414,182203,1698,3932,87,984332,13088
2020-08-05,Aug,California,1930,524722,5295,9703,202,8409400,103687
2020-08-05,Aug,Colorado,800,48394,426,1710,0,727026,5105
2020-08-05,Aug,Florida,868,502739,5409,7751,225,3814884,30426
2020-08-05,Aug,Georgia,1918,201713,3765,3984,63,1695224,30812
2020-08-05,Aug,Illinois,1739,187752,1759,7770,28,2897344,46668
2020-08-05,Aug,Maryland,262,92426,572,3536,6,1326635,21762
2020-08-05,Aug,Massachuttces,424,119643,440,8659,2,1698416,25338
2020-08-05,Aug,Michigan,623,93893,718,6478,7,1980472,26057
2020-08-05,Aug,Minniesota,486,57779,617,1670,10,1090303,11608
2020-08-05,Aug,Nevada,361,52828,649,890,28,491117,2030
2020-08-05,Aug,New Jersey,422,183327,357,15765,7,2187018,22082
2020-08-05,Aug,New York,869,418225,636,25179,4,6226435,72668
2020-08-05,Aug,North Carolina,455,129288,1127,2050,40,1873668,19642
2020-08-05,Aug,Pennsylvania,351,115714,705,7244,12,1284725,13196
2020-08-05,Aug,Texas,2065,459887,8706,7497,236,3908235,23387
2020-08-05,Aug,Utah,451,42328,421,327,6,550322,5366
2020-08-05,Aug,Washington,738,62992,725,1619,19,1159061,15068
2020-08-06,Aug,Arizona,470,183647,1444,4002,70,994625,10293
2020-08-06,Aug,California,2001,529980,5258,9869,166,8500463,91063
2020-08-06,Aug,Colorado,904,48988,594,1717,7,754644,27618
2020-08-06,Aug,Florida,1013,510389,7650,7871,120,3857363,42479
2020-08-06,Aug,Georgia,2013,204895,3182,4026,42,1724762,29538
2020-08-06,Aug,Illinois,1779,189705,1953,7791,21,2939030,41686
2020-08-06,Aug,Maryland,286,93005,579,3551,15,1343334,16699
2020-08-06,Aug,Massachuttces,478,119874,231,8691,32,1721559,23143
2020-08-06,Aug,Michigan,678,94656,763,6506,28,2006578,26106
2020-08-06,Aug,Minniesota,524,58640,861,1677,7,1105094,14791
2020-08-06,Aug,Nevada,474,53557,729,900,10,500195,9078
2020-08-06,Aug,New Jersey,443,183701,374,15772,7,2230245,43227
2020-08-06,Aug,New York,973,418928,703,25185,6,6298805,72370
2020-08-06,Aug,North Carolina,610,131267,1979,2092,42,1904750,31082
2020-08-06,Aug,Pennsylvania,437,116521,807,7282,38,1300251,15526
2020-08-06,Aug,Texas,2410,467485,7598,7803,306,3944480,36245
