Date,Month Abbr,State,Number of Flights,Positive,Deaths,Total Tested,Increase of Case Per Day by State
8/29/2020,Aug,North Carolina,635,165076,2683,2218149,2585
8/30/2020,Aug,North Carolina,563,166127,2692,2243273,1051
8/31/2020,Aug,North Carolina,606,167313,2702,2256172,1186
9/1/2020,Sep,North Carolina,463,169424,2741,2295698,2111
9/2/2020,Sep,North Carolina,481,170553,2779,2315310,1129
9/3/2020,Sep,North Carolina,649,172209,2803,2347837,1656
9/4/2020,Sep,North Carolina,659,174254,2839,2389096,2045
9/5/2020,Sep,North Carolina,619,175815,2889,2410871,1561
9/6/2020,Sep,North Carolina,548,176901,2890,2442950,1086
9/7/2020,Sep,North Carolina,553,177919,2897,2459582,1018
9/8/2020,Sep,North Carolina,465,178635,2909,2469977,716
9/9/2020,Sep,North Carolina,574,179532,2958,2490113,897
9/10/2020,Sep,North Carolina,618,180754,2990,2521839,1222
9/11/2020,Sep,North Carolina,617,182286,3023,2558654,1532
9/12/2020,Sep,North Carolina,598,183740,3047,2581132,1454
9/13/2020,Sep,North Carolina,606,184936,3052,2616108,1196
9/14/2020,Sep,North Carolina,621,185781,3060,2634819,845
9/15/2020,Sep,North Carolina,583,186887,3111,2652440,1106
9/16/2020,Sep,North Carolina,570,188024,3149,2683384,1137
9/17/2020,Sep,North Carolina,482,189576,3180,2714175,1552
9/18/2020,Sep,North Carolina,498,191019,3207,2749020,1443
9/19/2020,Sep,North Carolina,603,192248,3235,2771020,1229
9/20/2020,Sep,North Carolina,617,193581,3243,2804818,1333
9/21/2020,Sep,North Carolina,626,194381,3247,2817539,800
9/22/2020,Sep,North Carolina,190,195549,3286,2824929,1168
9/23/2020,Sep,North Carolina,227,196501,3316,2842427,952
9/24/2020,Sep,North Carolina,622,198189,3356,2870191,1688
9/25/2020,Sep,North Carolina,625,204331,3409,2907617,6142
9/26/2020,Sep,North Carolina,603,206090,3440,2947803,1759
9/27/2020,Sep,North Carolina,546,207380,3441,2978728,1290
9/28/2020,Sep,North Carolina,308,208248,3445,3004533,868
9/29/2020,Sep,North Carolina,548,209137,3494,3019586,889
9/30/2020,Sep,North Carolina,602,210632,3532,3034871,1495
10/1/2020,Oct,North Carolina,618,212909,3579,3063661,2277
10/2/2020,Oct,North Carolina,642,214684,3608,3099704,1775
10/3/2020,Oct,North Carolina,609,216886,3629,3136266,2202
10/4/2020,Oct,North Carolina,632,217496,3634,3160968,610
10/5/2020,Oct,North Carolina,631,219754,3637,3193916,2258
10/6/2020,Oct,North Carolina,597,221258,3670,3216686,1504
10/7/2020,Oct,North Carolina,538,222969,3693,3235273,1711
10/8/2020,Oct,North Carolina,650,225397,3722,3268955,2428
10/9/2020,Oct,North Carolina,655,227431,3747,3311285,2034
10/10/2020,Oct,North Carolina,625,229752,3765,3350815,2321
10/11/2020,Oct,North Carolina,634,231471,3770,3388250,1719
10/12/2020,Oct,North Carolina,652,232747,3773,3417814,1276
10/13/2020,Oct,North Carolina,544,234481,3816,3444583,1734
10/14/2020,Oct,North Carolina,541,236407,3856,3467235,1926
10/15/2020,Oct,North Carolina,640,238939,3874,3500763,2532
10/16/2020,Oct,North Carolina,657,241623,3910,3539731,2684
10/17/2020,Oct,North Carolina,25,243725,3929,3582572,2102
10/18/2020,Oct,North Carolina,635,246028,3934,3617258,2303
10/19/2020,Oct,North Carolina,649,247172,3939,3648364,1144
10/20/2020,Oct,North Carolina,535,248750,3992,3671793,1578
10/21/2020,Oct,North Carolina,550,250592,4032,3692043,1842
10/22/2020,Oct,North Carolina,588,252992,4082,3727675,2400
8/24/2020,Aug,Pennsylvania,418,129474,7579,1562838,
8/25/2020,Aug,Pennsylvania,361,130035,7605,1575205,561
8/26/2020,Aug,Pennsylvania,360,130536,7624,1588178,501
8/27/2020,Aug,Pennsylvania,441,131156,7635,1602921,620
8/28/2020,Aug,Pennsylvania,330,131991,7655,1620826,835
8/29/2020,Aug,Pennsylvania,337,132834,7671,1636942,843
8/30/2020,Aug,Pennsylvania,327,133504,7673,1649403,670
8/31/2020,Aug,Pennsylvania,423,134025,7673,1658220,521
9/1/2020,Sep,Pennsylvania,371,134795,7691,1674764,770
9/2/2020,Sep,Pennsylvania,355,135611,7712,1687696,816
9/3/2020,Sep,Pennsylvania,443,136771,7732,1702214,1160
9/4/2020,Sep,Pennsylvania,422,137662,7742,1714541,891
9/5/2020,Sep,Pennsylvania,328,138625,7760,1727706,963
9/6/2020,Sep,Pennsylvania,307,139316,7760,1738615,691
9/7/2020,Sep,Pennsylvania,367,139863,7780,1748241,547
9/8/2020,Sep,Pennsylvania,328,140359,7791,1755076,496
9/9/2020,Sep,Pennsylvania,302,141290,7805,1766930,931
9/10/2020,Sep,Pennsylvania,337,141877,7820,1781226,587
9/11/2020,Sep,Pennsylvania,298,142885,7837,1794913,1008
9/12/2020,Sep,Pennsylvania,170,143805,7837,1807805,920
9/13/2020,Sep,Pennsylvania,276,143881,7837,1807881,76
9/14/2020,Sep,Pennsylvania,309,145063,7869,1829672,1182
9/15/2020,Sep,Pennsylvania,198,146214,7875,1841498,1151
9/16/2020,Sep,Pennsylvania,340,146990,7903,1855121,776
9/17/2020,Sep,Pennsylvania,284,147923,7913,1869198,933
9/18/2020,Sep,Pennsylvania,303,148683,7934,1881488,760
9/19/2020,Sep,Pennsylvania,170,149845,7956,1896125,1162
9/20/2020,Sep,Pennsylvania,306,150578,7981,1908910,733
9/21/2020,Sep,Pennsylvania,396,150812,8004,1917993,234
9/22/2020,Sep,Pennsylvania,52,151646,8023,1929562,834
9/23/2020,Sep,Pennsylvania,140,152544,8062,1942956,898
9/24/2020,Sep,Pennsylvania,343,153397,8079,1956867,853
9/25/2020,Sep,Pennsylvania,376,154203,8081,1970600,806
9/26/2020,Sep,Pennsylvania,180,155232,8103,1985524,1029
9/27/2020,Sep,Pennsylvania,289,156150,8106,2001220,918
9/28/2020,Sep,Pennsylvania,129,156826,8107,2012317,676
9/29/2020,Sep,Pennsylvania,196,157814,8123,2024575,988
9/30/2020,Sep,Pennsylvania,379,158967,8142,2038094,1153
10/1/2020,Oct,Pennsylvania,344,160123,8160,2049762,1156
10/2/2020,Oct,Pennsylvania,408,161284,8179,2066255,1161
10/3/2020,Oct,Pennsylvania,177,161284,8199,2066255,0
10/4/2020,Oct,Pennsylvania,297,163535,8216,2095170,2251
10/5/2020,Oct,Pennsylvania,414,164207,8227,2105159,672
10/6/2020,Oct,Pennsylvania,202,165243,8244,2117235,1036
10/7/2020,Oct,Pennsylvania,379,166552,8272,2134094,1309
10/8/2020,Oct,Pennsylvania,368,167928,8299,2153031,1376
10/9/2020,Oct,Pennsylvania,413,169308,8308,2169073,1380
10/10/2020,Oct,Pennsylvania,194,171050,8344,2190490,1742
10/11/2020,Oct,Pennsylvania,330,172216,8350,2205861,1166
10/12/2020,Oct,Pennsylvania,395,173304,8368,2218010,1088
10/13/2020,Oct,Pennsylvania,230,174646,8384,2234739,1342
10/14/2020,Oct,Pennsylvania,380,175922,8411,2250651,1276
10/15/2020,Oct,Pennsylvania,370,177520,8432,2266717,1598
10/16/2020,Oct,Pennsylvania,411,179086,8457,2282130,1566
10/17/2020,Oct,Pennsylvania,6,180943,8466,2300793,1857
10/18/2020,Oct,Pennsylvania,330,182212,8492,2314863,1269
10/19/2020,Oct,Pennsylvania,423,183315,8500,2327281,1103
10/20/2020,Oct,Pennsylvania,229,184872,8533,2340511,1557
10/21/2020,Oct,Pennsylvania,394,186297,8562,2353833,1425
10/22/2020,Oct,Pennsylvania,274,188360,8592,2373439,2063
8/24/2020,Aug,Texas,2414,580384,11395,4670875,
8/25/2020,Aug,Texas,2030,586730,11576,4724559,6346
8/26/2020,Aug,Texas,1533,592137,11805,4764640,5407
8/27/2020,Aug,Texas,2057,597737,12070,4793914,5600
8/28/2020,Aug,Texas,2340,601768,12266,4842362,4031
8/29/2020,Aug,Texas,2301,606530,12420,4900972,4762
8/30/2020,Aug,Texas,2166,610354,12510,4924712,3824
8/31/2020,Aug,Texas,2393,612969,12536,4961553,2615
9/1/2020,Sep,Texas,1489,617333,12681,5033554,4364
9/2/2020,Sep,Texas,1906,621667,12870,5068862,4334
9/3/2020,Sep,Texas,2370,625347,13091,5107503,3680
9/4/2020,Sep,Texas,2358,630829,13231,5119753,5482
9/5/2020,Sep,Texas,1738,635315,13408,5183948,4486
9/6/2020,Sep,Texas,1878,638310,13472,5282579,2995
9/7/2020,Sep,Texas,2274,640370,13492,5320999,2060
9/8/2020,Sep,Texas,1934,641791,13553,5339126,1421
9/9/2020,Sep,Texas,1901,645791,13692,5372132,4000
9/10/2020,Sep,Texas,2255,649809,13853,5405257,4018
9/11/2020,Sep,Texas,2301,653356,13997,5454041,3547
9/12/2020,Sep,Texas,2168,657589,14143,5519641,4233
9/13/2020,Sep,Texas,2240,659434,14190,5550139,1845
9/14/2020,Sep,Texas,2178,663445,14211,5213247,4011
9/15/2020,Sep,Texas,1963,668746,14343,5247542,5301
9/16/2020,Sep,Texas,1873,674772,14478,5299620,6026
9/17/2020,Sep,Texas,1906,678819,14590,5345176,4047
9/18/2020,Sep,Texas,1947,682241,14713,5444801,3422
9/19/2020,Sep,Texas,2165,686068,14848,5563176,3827
9/20/2020,Sep,Texas,2234,688534,14893,5593488,2466
9/21/2020,Sep,Texas,2181,698387,14917,5622498,9853
9/22/2020,Sep,Texas,652,716207,14994,5667732,17820
9/23/2020,Sep,Texas,1041,719599,15129,5740674,3392
9/24/2020,Sep,Texas,2319,723919,15267,5860833,4320
9/25/2020,Sep,Texas,2281,728552,15364,5913449,4633
9/26/2020,Sep,Texas,2191,733438,15485,5994813,4886
9/27/2020,Sep,Texas,1796,735132,15522,6016907,1694
9/28/2020,Sep,Texas,915,739743,15533,6171755,4611
9/29/2020,Sep,Texas,2008,743284,15604,6200826,3541
9/30/2020,Sep,Texas,2146,748967,15711,6237157,5683
10/1/2020,Oct,Texas,2238,752501,15823,6282329,3534
10/2/2020,Oct,Texas,2301,756004,15895,6368742,3503
10/3/2020,Oct,Texas,2186,763010,15992,6472939,7006
10/4/2020,Oct,Texas,2296,765894,16025,6537885,2884
10/5/2020,Oct,Texas,2292,769303,16033,6571677,3409
10/6/2020,Oct,Texas,1965,773435,16111,6636248,4132
10/7/2020,Oct,Texas,2207,777556,16230,6664440,4121
10/8/2020,Oct,Texas,2370,781794,16334,6703106,4238
10/9/2020,Oct,Texas,2423,785830,16432,6746030,4036
10/10/2020,Oct,Texas,2207,790060,16526,6830631,4230
10/11/2020,Oct,Texas,2476,792478,16557,6887551,2418
10/12/2020,Oct,Texas,2477,795126,16558,6951394,2648
10/13/2020,Oct,Texas,2196,800415,16622,7012023,5289
10/14/2020,Oct,Texas,2273,805082,16717,7067676,4667
10/15/2020,Oct,Texas,2423,809808,16812,7111890,4726
10/16/2020,Oct,Texas,2422,815678,16903,7211046,5870
10/17/2020,Oct,Texas,77,820563,16984,7274236,4885
10/18/2020,Oct,Texas,2498,823779,17014,7326919,3216
10/19/2020,Oct,Texas,2517,825673,17022,7384043,1894
10/20/2020,Oct,Texas,2090,833557,17087,7444326,7884
10/21/2020,Oct,Texas,2045,838809,17201,7474874,5252
10/22/2020,Oct,Texas,2067,845100,17286,7532717,6291
8/24/2020,Aug,Utah,468,49364,390,626354,
8/25/2020,Aug,Utah,427,49767,397,630599,403
8/26/2020,Aug,Utah,437,50174,401,637329,407
8/27/2020,Aug,Utah,482,50557,403,642761,383
8/28/2020,Aug,Utah,462,50948,407,647745,391
8/29/2020,Aug,Utah,439,51406,407,650560,458
8/30/2020,Aug,Utah,406,51854,407,655507,448
8/31/2020,Aug,Utah,474,52107,407,659855,253
9/1/2020,Sep,Utah,432,52403,409,664521,296
9/2/2020,Sep,Utah,446,52822,410,668425,419
9/3/2020,Sep,Utah,495,53326,414,673659,504
9/4/2020,Sep,Utah,481,53839,419,679716,513
9/5/2020,Sep,Utah,413,54272,420,683965,433
9/6/2020,Sep,Utah,422,54660,422,688735,388
9/7/2020,Sep,Utah,441,55033,423,691743,373
9/8/2020,Sep,Utah,316,55359,424,695347,326
9/9/2020,Sep,Utah,425,55673,427,698541,314
9/10/2020,Sep,Utah,470,56019,430,703766,346
9/11/2020,Sep,Utah,455,56675,431,707807,656
9/12/2020,Sep,Utah,414,57247,433,712229,572
9/13/2020,Sep,Utah,423,57875,433,716873,628
9/14/2020,Sep,Utah,442,58438,436,721682,563
9/15/2020,Sep,Utah,439,59000,436,725612,562
9/16/2020,Sep,Utah,334,59747,437,729731,747
9/17/2020,Sep,Utah,310,60658,437,735178,911
9/18/2020,Sep,Utah,369,61775,437,743737,1117
9/19/2020,Sep,Utah,400,62852,440,751950,1077
9/20/2020,Sep,Utah,422,63772,440,758165,920
9/21/2020,Sep,Utah,434,64394,441,762051,622
9/22/2020,Sep,Utah,92,65044,443,768959,650
9/23/2020,Sep,Utah,228,65921,444,775858,877
9/24/2020,Sep,Utah,451,67119,444,784975,1198
9/25/2020,Sep,Utah,453,68530,448,795217,1411
9/26/2020,Sep,Utah,427,69547,448,805079,1017
9/27/2020,Sep,Utah,372,70615,453,811249,1068
9/28/2020,Sep,Utah,161,71442,453,817461,827
9/29/2020,Sep,Utah,424,72136,457,821864,694
9/30/2020,Sep,Utah,435,73042,459,829970,906
10/1/2020,Oct,Utah,469,74050,459,836218,1008
10/2/2020,Oct,Utah,473,75157,474,845583,1107
10/3/2020,Oct,Utah,432,76225,476,852680,1068
10/4/2020,Oct,Utah,446,77618,478,860894,1393
10/5/2020,Oct,Utah,456,78723,482,866180,1105
10/6/2020,Oct,Utah,440,79439,488,875601,716
10/7/2020,Oct,Utah,432,80446,496,881440,1007
10/8/2020,Oct,Utah,480,81947,501,892022,1501
10/9/2020,Oct,Utah,478,83290,505,901048,1343
10/10/2020,Oct,Utah,433,84644,510,912894,1354
10/11/2020,Oct,Utah,450,85844,517,918571,1200
10/12/2020,Oct,Utah,466,86832,522,922931,988
10/13/2020,Oct,Utah,443,87819,522,931732,987
10/14/2020,Oct,Utah,404,88963,527,940687,1144
10/15/2020,Oct,Utah,482,90461,529,948002,1498
10/16/2020,Oct,Utah,465,91957,537,957309,1496
10/17/2020,Oct,Utah,10,93297,540,966451,1340
10/18/2020,Oct,Utah,447,94394,543,973938,1097
10/19/2020,Oct,Utah,454,95562,546,980659,1168
10/20/2020,Oct,Utah,444,96643,551,986424,1081
10/21/2020,Oct,Utah,437,98006,557,993995,1363
10/22/2020,Oct,Utah,297,99549,563,1004286,1543
8/24/2020,Aug,Virginia,413,113630,2471,1479117,
8/25/2020,Aug,Virginia,414,114635,2494,1495014,1005
8/26/2020,Aug,Virginia,402,115458,2515,1502521,823
8/27/2020,Aug,Virginia,448,115458,2515,1502521,0
8/28/2020,Aug,Virginia,388,117592,2550,1539290,2134
8/29/2020,Aug,Virginia,403,118809,2568,1555487,1217
8/30/2020,Aug,Virginia,404,119747,2569,1568194,938
8/31/2020,Aug,Virginia,426,120594,2580,1581291,847
9/1/2020,Sep,Virginia,481,121615,2612,1593368,1021
9/2/2020,Sep,Virginia,476,122542,2641,1605290,927
9/3/2020,Sep,Virginia,409,123668,2652,1619053,1126
9/4/2020,Sep,Virginia,449,124779,2662,1634308,1111
9/5/2020,Sep,Virginia,296,125727,2677,1652020,948
9/6/2020,Sep,Virginia,367,126926,2678,1664475,1199
9/7/2020,Sep,Virginia,450,127571,2684,1676446,645
9/8/2020,Sep,Virginia,437,128407,2686,1684048,836
9/9/2020,Sep,Virginia,481,129289,2697,1694203,882
9/10/2020,Sep,Virginia,471,130525,2708,1710556,1236
9/11/2020,Sep,Virginia,437,131640,2711,1728110,1115
9/12/2020,Sep,Virginia,477,132940,2722,1744020,1300
9/13/2020,Sep,Virginia,498,133814,2724,1760096,874
9/14/2020,Sep,Virginia,443,134571,2743,1773158,757
9/15/2020,Sep,Virginia,447,135514,2839,1785553,943
9/16/2020,Sep,Virginia,414,136359,2884,1799851,845
9/17/2020,Sep,Virginia,373,137460,2920,1822012,1101
9/18/2020,Sep,Virginia,377,138702,2949,1831623,1242
9/19/2020,Sep,Virginia,478,139655,2990,1866666,953
9/20/2020,Sep,Virginia,497,140511,3015,1882028,856
9/21/2020,Sep,Virginia,465,141138,3021,1898637,627
9/22/2020,Sep,Virginia,115,142010,3060,1911580,872
9/23/2020,Sep,Virginia,82,142590,3089,1922606,580
9/24/2020,Sep,Virginia,484,143492,3113,1952965,902
9/25/2020,Sep,Virginia,469,144433,3136,1973499,941
9/26/2020,Sep,Virginia,479,145408,3144,1993344,975
9/27/2020,Sep,Virginia,439,146144,3159,2003129,736
9/28/2020,Sep,Virginia,168,146593,3172,2027168,449
9/29/2020,Sep,Virginia,447,147516,3187,2039510,923
9/30/2020,Sep,Virginia,458,148271,3208,2049988,755
10/1/2020,Oct,Virginia,488,148721,3228,2074236,450
10/2/2020,Oct,Virginia,454,149687,3250,2094361,966
10/3/2020,Oct,Virginia,494,150803,3270,2113878,1116
10/4/2020,Oct,Virginia,526,151870,3273,2113878,1067
10/5/2020,Oct,Virginia,435,152557,3276,2139991,687
10/6/2020,Oct,Virginia,371,153182,3291,2154168,625
10/7/2020,Oct,Virginia,390,153691,3303,2170313,509
10/8/2020,Oct,Virginia,529,155535,3328,2189792,1844
10/9/2020,Oct,Virginia,463,156649,3344,2219510,1114
10/10/2020,Oct,Virginia,502,157905,3354,2238204,1256
10/11/2020,Oct,Virginia,502,158716,3358,2256820,811
10/12/2020,Oct,Virginia,439,159570,3361,2271842,854
10/13/2020,Oct,Virginia,374,160805,3372,2292562,1235
10/14/2020,Oct,Virginia,388,161610,3381,2304369,805
10/15/2020,Oct,Virginia,531,162941,3388,2326802,1331
10/16/2020,Oct,Virginia,455,164124,3408,2346899,1183
10/17/2020,Oct,Virginia,35,165238,3422,2366380,1114
10/18/2020,Oct,Virginia,515,166138,3433,2386778,900
10/19/2020,Oct,Virginia,433,166828,3457,2398111,690
10/20/2020,Oct,Virginia,381,167754,3485,2411940,926
10/21/2020,Oct,Virginia,372,168772,3515,2431736,1018
10/22/2020,Oct,Virginia,396,170104,3524,2451698,1332
8/24/2020,Aug,Washington,686,71681,1863,1380050,
8/25/2020,Aug,Washington,695,71681,1867,1380050,0
8/26/2020,Aug,Washington,677,71705,1876,1380104,24
8/27/2020,Aug,Washington,732,72161,1880,1391309,456
8/28/2020,Aug,Washington,713,72703,1890,1408164,542
8/29/2020,Aug,Washington,717,73301,1905,1423771,598
8/30/2020,Aug,Washington,681,74320,1905,1461354,1019
8/31/2020,Aug,Washington,685,74320,1905,1461354,0
9/1/2020,Sep,Washington,747,74635,1915,1473245,315
9/2/2020,Sep,Washington,708,74939,1931,1480039,304
9/3/2020,Sep,Washington,800,75377,1935,1496353,438
9/4/2020,Sep,Washington,803,75856,1945,1518089,479
9/5/2020,Sep,Washington,761,76335,1953,1534090,479
9/6/2020,Sep,Washington,739,76836,1953,1550477,501
9/7/2020,Sep,Washington,766,77235,1953,1563053,399
9/8/2020,Sep,Washington,727,77235,1953,1563053,0
9/9/2020,Sep,Washington,741,78009,1978,1583903,774
9/10/2020,Sep,Washington,703,78467,1985,1597987,458
9/11/2020,Sep,Washington,738,79011,1991,1614748,544
9/12/2020,Sep,Washington,650,79476,1991,1631162,465
9/13/2020,Sep,Washington,631,79826,1991,1644585,350
9/14/2020,Sep,Washington,654,80138,2006,1653967,312
9/15/2020,Sep,Washington,615,80465,2015,1665715,327
9/16/2020,Sep,Washington,662,80812,2020,1676702,347
9/17/2020,Sep,Washington,654,81198,2031,1691047,386
9/18/2020,Sep,Washington,684,81602,2037,1704670,404
9/19/2020,Sep,Washington,725,81602,2037,1704670,0
9/20/2020,Sep,Washington,680,82199,2037,1723040,597
9/21/2020,Sep,Washington,718,82548,2037,1736556,349
9/22/2020,Sep,Washington,320,83193,2070,1740899,645
9/23/2020,Sep,Washington,704,83193,2070,1740899,0
9/24/2020,Sep,Washington,715,83702,2081,1743296,509
9/25/2020,Sep,Washington,728,84238,2080,1783279,536
9/26/2020,Sep,Washington,685,85226,2100,1801021,988
9/27/2020,Sep,Washington,585,85830,2100,1820623,604
9/28/2020,Sep,Washington,295,86269,2100,1837206,439
9/29/2020,Sep,Washington,681,86638,2100,1848463,369
9/30/2020,Sep,Washington,709,87042,2124,1854399,404
10/1/2020,Oct,Washington,708,87522,2126,1868089,480
10/2/2020,Oct,Washington,773,88116,2132,1884074,594
10/3/2020,Oct,Washington,744,88810,2143,1905759,694
10/4/2020,Oct,Washington,731,89419,2142,1922956,609
10/5/2020,Oct,Washington,713,89874,2142,1935899,455
10/6/2020,Oct,Washington,667,90276,2158,1951407,402
10/7/2020,Oct,Washington,702,90663,2165,1961067,387
10/8/2020,Oct,Washington,710,91208,2177,1987477,545
10/9/2020,Oct,Washington,748,91918,2183,2016471,710
10/10/2020,Oct,Washington,678,92560,2190,2037946,642
10/11/2020,Oct,Washington,703,93035,2190,2061438,475
10/12/2020,Oct,Washington,711,93035,2190,2061438,0
10/13/2020,Oct,Washington,672,94775,2211,2123908,1740
10/14/2020,Oct,Washington,689,94775,2211,2123908,0
10/15/2020,Oct,Washington,717,95509,2221,2146509,734
10/16/2020,Oct,Washington,741,96185,2232,2169192,676
10/17/2020,Oct,Washington,40,96894,2239,2194254,709
10/18/2020,Oct,Washington,705,98201,2239,2214560,1307
10/19/2020,Oct,Washington,715,98201,2239,2230785,0
10/20/2020,Oct,Washington,689,98661,2258,2244336,460
10/21/2020,Oct,Washington,693,99150,2282,2252788,489
10/22/2020,Oct,Washington,474,99874,2286,2276453,724
