Date,Month Abbr,State,Number of Flights,Positive,Daily Positve Increase,Deaths,Daily Death Increase,Total Tested,Daily Test Increase
7/20/2020,Jul,Washington,509,51206,990,1447,3,941258,17727
7/21/2020,Jul,Arizona,304,148683,3500,2918,134,807666,14143
7/21/2020,Jul,California,1189,400769,9231,7755,61,6536932,122611
7/21/2020,Jul,Colorado,600,40566,424,1615,0,565299,12383
7/21/2020,Jul,Florida,746,369834,9440,5319,136,3099750,47644
7/21/2020,Jul,Georgia,1453,148988,3413,3254,78,1295291,21510
7/21/2020,Jul,Illinois,1713,164878,955,7517,23,2310029,29745
7/21/2020,Jul,Maryland,206,79545,860,3402,20,973616,20550
7/21/2020,Jul,Massachuttces,400,114033,244,8450,17,1413854,19710
7/21/2020,Jul,Michigan,551,83059,664,6382,9,1529375,22586
7/21/2020,Jul,Minniesota,421,47457,350,1588,3,876859,9449
7/21/2020,Jul,Nevada,201,37528,815,676,28,398822,3401
7/21/2020,Jul,New Jersey,390,177256,293,15533,23,1817955,15081
7/21/2020,Jul,New York,656,408181,855,25058,2,5230981,66169
7/21/2020,Jul,North Carolina,561,102861,1815,1668,26,1458997,35109
7/21/2020,Jul,Pennsylvania,343,102765,1027,7038,20,1055763,15850
7/21/2020,Jul,Texas,2010,341739,9305,4151,131,3043574,59020
7/21/2020,Jul,Utah,346,35012,486,251,4,475443,6039
7/21/2020,Jul,Washington,545,52290,1084,1453,6,958315,17057
7/22/2020,Jul,Arizona,306,150609,1926,2974,56,813981,6315
7/22/2020,Jul,California,1219,413576,12807,7870,115,6664419,127487
7/22/2020,Jul,Colorado,615,41059,493,1643,28,574162,8863
7/22/2020,Jul,Florida,768,379619,9785,5459,140,3154711,54961
7/22/2020,Jul,Georgia,1661,152302,3314,3335,81,1316844,21553
7/22/2020,Jul,Illinois,1809,166476,1598,7540,23,2349662,39633
7/22/2020,Jul,Maryland,208,80172,627,3405,3,994637,21021
7/22/2020,Jul,Massachuttces,417,114320,287,8468,18,1432182,18328
7/22/2020,Jul,Michigan,597,83730,671,6388,6,1559613,30238
7/22/2020,Jul,Minniesota,418,47961,504,1592,4,888551,11692
7/22/2020,Jul,Nevada,214,38657,1129,704,28,404308,5486
7/22/2020,Jul,New Jersey,383,177645,389,15557,24,1840929,22974
7/22/2020,Jul,New York,714,408886,705,25068,10,5298640,67659
7/22/2020,Jul,North Carolina,544,105001,2140,1698,30,1491820,32823
7/22/2020,Jul,Pennsylvania,344,103396,631,7063,25,1071477,15714
7/22/2020,Jul,Texas,1980,351618,9879,4348,197,3104148,60574
7/22/2020,Jul,Utah,362,35578,566,260,9,481402,5959
7/22/2020,Jul,Washington,513,53306,1016,1465,12,974082,15767
7/23/2020,Jul,Arizona,323,152944,2335,3063,89,822713,8732
7/23/2020,Jul,California,1280,425616,12040,8027,157,6778304,113885
7/23/2020,Jul,Colorado,648,41698,639,1643,0,585551,11389
7/23/2020,Jul,Florida,850,389868,10249,5632,173,3210942,56231
7/23/2020,Jul,Georgia,1622,156588,4286,3360,25,1336938,20094
7/23/2020,Jul,Illinois,1922,168100,1624,7560,20,2389368,39706
7/23/2020,Jul,Maryland,224,80836,664,3409,4,1010681,16044
7/23/2020,Jul,Massachuttces,446,114647,327,8484,16,1452393,20211
7/23/2020,Jul,Michigan,634,84431,701,6395,7,1586724,27111
7/23/2020,Jul,Minniesota,434,48721,760,1601,9,905315,16764
7/23/2020,Jul,Nevada,251,39919,1262,709,5,414136,9828
7/23/2020,Jul,New Jersey,421,177887,242,15581,24,1859638,18709
7/23/2020,Jul,New York,732,409697,811,25081,13,5368338,69698
7/23/2020,Jul,North Carolina,798,106893,1892,1726,28,1523675,31855
7/23/2020,Jul,Pennsylvania,488,104358,962,7079,16,1085617,14140
7/23/2020,Jul,Texas,2222,361125,9507,4521,173,3164656,60508
7/23/2020,Jul,Utah,355,36099,521,267,7,485422,4020
7/23/2020,Jul,Washington,559,54177,871,1468,3,988535,14453
7/24/2020,Jul,Arizona,316,156301,3357,3142,79,836817,14104
7/24/2020,Jul,California,1242,435334,9718,8186,159,6915876,137572
7/24/2020,Jul,Colorado,626,42314,616,1645,2,594731,9180
7/24/2020,Jul,Florida,849,402312,12444,5768,136,3276636,65694
7/24/2020,Jul,Georgia,1743,161401,4813,3442,82,1382444,45506
7/24/2020,Jul,Illinois,1892,169699,1599,7577,17,2433765,44397
7/24/2020,Jul,Maryland,218,81766,930,3422,13,1034901,24220
7/24/2020,Jul,Massachuttces,516,114985,338,8498,14,1469667,17274
7/24/2020,Jul,Michigan,625,85072,641,6400,5,1614646,27922
7/24/2020,Jul,Minniesota,444,49488,767,1606,5,922876,17561
7/24/2020,Jul,Nevada,242,40885,966,722,13,421871,7735
7/24/2020,Jul,New Jersey,405,178345,458,15616,35,1887644,28006
7/24/2020,Jul,New York,732,410450,753,25090,9,5444845,76507
7/24/2020,Jul,North Carolina,733,108995,2102,1746,20,1550297,26622
7/24/2020,Jul,Pennsylvania,488,105571,1213,7101,22,1104948,19331
7/24/2020,Jul,Texas,2192,369826,8701,4717,196,3231931,67275
7/24/2020,Jul,Utah,360,36962,863,273,6,494071,8649
7/24/2020,Jul,Washington,551,54970,793,1482,14,1003710,15175
7/25/2020,Jul,Arizona,311,160041,3740,3286,144,857609,20792
7/25/2020,Jul,California,1255,445400,10066,8337,151,7047355,131479
7/25/2020,Jul,Colorado,636,42980,666,1661,16,608070,13339
7/25/2020,Jul,Florida,820,414511,12199,5894,126,3336377,59741
7/25/2020,Jul,Georgia,1784,165188,3787,3495,53,1407840,25396
7/25/2020,Jul,Illinois,1933,171125,1426,7589,12,2471965,38200
7/25/2020,Jul,Maryland,198,83054,1288,3433,11,1069775,34874
