Date,Month Abbr,State,Number of Flights,Daily Positve Increase,Daily Death Increase,Expected Positives
7/22/2020,Jul,Georgia,1661,3314,81,3231.5455
7/22/2020,Jul,Illinois,1809,1598,23,3511.5467
7/22/2020,Jul,Maryland,208,627,3,482.6148
7/22/2020,Jul,Massachuttces,417,287,18,878.0219
7/22/2020,Jul,Michigan,597,671,6,1218.5639
7/22/2020,Jul,Minniesota,418,504,4,879.9138
7/22/2020,Jul,Nevada,214,1129,28,493.9662
7/22/2020,Jul,New Jersey,383,389,24,813.6973
7/22/2020,Jul,New York,714,705,10,1439.9162
7/22/2020,Jul,North Carolina,544,2140,30,1118.2932
7/22/2020,Jul,Pennsylvania,344,631,25,739.9132
7/22/2020,Jul,Texas,1980,9879,197,3835.0616
7/22/2020,Jul,Utah,362,566,9,773.9674
7/22/2020,Jul,Washington,513,1016,12,1059.6443
7/23/2020,Jul,Arizona,323,2335,89,700.1833
7/23/2020,Jul,California,1280,12040,157,2510.7316
7/23/2020,Jul,Colorado,648,639,0,1315.0508
7/23/2020,Jul,Florida,850,10249,173,1697.2146
7/23/2020,Jul,Georgia,1622,4286,25,3157.7614
7/23/2020,Jul,Illinois,1922,1624,20,3725.3314
7/23/2020,Jul,Maryland,224,664,4,512.8852
7/23/2020,Jul,Massachuttces,446,327,16,932.887
7/23/2020,Jul,Michigan,634,701,7,1288.5642
7/23/2020,Jul,Minniesota,434,760,9,910.1842
7/23/2020,Jul,Nevada,251,1262,5,563.9665
7/23/2020,Jul,New Jersey,421,242,24,885.5895
7/23/2020,Jul,New York,732,811,13,1473.9704
7/23/2020,Jul,North Carolina,798,1892,28,1598.8358
7/23/2020,Jul,Pennsylvania,488,962,16,1012.3468
7/23/2020,Jul,Texas,2222,9507,173,4292.9014
7/23/2020,Jul,Utah,355,521,7,760.7241
7/23/2020,Jul,Washington,559,871,3,1146.6717
7/24/2020,Jul,Arizona,316,3357,79,686.94
7/24/2020,Jul,California,1242,9718,159,2438.8394
7/24/2020,Jul,Colorado,626,616,2,1273.429
7/24/2020,Jul,Florida,849,12444,136,1695.3227
7/24/2020,Jul,Georgia,1743,4813,82,3386.6813
7/24/2020,Jul,Illinois,1892,1599,17,3668.5744
7/24/2020,Jul,Maryland,218,930,13,501.5338
7/24/2020,Jul,Massachuttces,516,338,14,1065.32
7/24/2020,Jul,Michigan,625,641,5,1271.5371
7/24/2020,Jul,Minniesota,444,767,5,929.1032
7/24/2020,Jul,Nevada,242,966,13,546.9394
7/24/2020,Jul,New Jersey,405,458,35,855.3191
7/24/2020,Jul,New York,732,753,9,1473.9704
7/24/2020,Jul,North Carolina,733,2102,20,1475.8623
7/24/2020,Jul,Pennsylvania,488,1213,22,1012.3468
7/24/2020,Jul,Texas,2192,8701,196,4236.1444
7/24/2020,Jul,Utah,360,863,6,770.1836
7/24/2020,Jul,Washington,551,793,14,1131.5365
7/25/2020,Jul,Arizona,311,3740,144,677.4805
7/25/2020,Jul,California,1255,10066,151,2463.4341
7/25/2020,Jul,Colorado,636,666,16,1292.348
7/25/2020,Jul,Florida,820,12199,126,1640.4576
7/25/2020,Jul,Georgia,1784,3787,53,3464.2492
7/25/2020,Jul,Illinois,1933,1426,12,3746.1423
7/25/2020,Jul,Maryland,198,1288,11,463.6958
7/25/2020,Jul,Massachuttces,482,283,12,1000.9954
7/25/2020,Jul,Michigan,583,0,0,1192.0773
7/25/2020,Jul,Minniesota,445,803,5,930.9951
7/25/2020,Jul,Nevada,210,931,10,486.3986
7/25/2020,Jul,New Jersey,393,513,11,832.6163
7/25/2020,Jul,New York,652,750,13,1322.6184
7/25/2020,Jul,North Carolina,801,2097,32,1604.5115
7/25/2020,Jul,Pennsylvania,369,1054,13,787.2107
7/25/2020,Jul,Texas,2136,6020,168,4130.198
7/25/2020,Jul,Utah,355,661,1,760.7241
7/25/2020,Jul,Washington,564,482,13,1156.1312
7/26/2020,Jul,Arizona,453,1973,19,946.1303
7/26/2020,Jul,California,1989,8259,79,3852.0887
7/26/2020,Jul,Colorado,870,809,0,1735.0526
7/26/2020,Jul,Florida,1036,9344,78,2049.108
7/26/2020,Jul,Georgia,1953,2765,3,3783.9803
7/26/2020,Jul,Illinois,2170,1541,1,4194.5226
7/26/2020,Jul,Maryland,274,694,7,607.4802
7/26/2020,Jul,Massachuttces,610,369,19,1243.1586
7/26/2020,Jul,Michigan,680,1589,0,1375.5916
7/26/2020,Jul,Minniesota,526,862,3,1084.239
7/26/2020,Jul,Nevada,439,1018,2,919.6437
7/26/2020,Jul,New Jersey,474,505,12,985.8602
7/26/2020,Jul,New York,831,536,3,1661.2685
7/26/2020,Jul,North Carolina,877,1621,7,1748.2959
7/26/2020,Jul,Pennsylvania,533,800,4,1097.4823
7/26/2020,Jul,Texas,2457,5810,153,4737.4979
7/26/2020,Jul,Utah,480,350,0,997.2116
7/26/2020,Jul,Washington,726,321,0,1462.619
7/27/2020,Jul,Arizona,423,1813,0,889.3733
7/27/2020,Jul,California,1833,6891,29,3556.9523
7/27/2020,Jul,Colorado,845,547,0,1687.7551
7/27/2020,Jul,Florida,1001,8892,77,1982.8915
7/27/2020,Jul,Georgia,1724,2890,11,3350.7352
7/27/2020,Jul,Illinois,1923,1231,18,3727.2233
7/27/2020,Jul,Maryland,261,1128,7,582.8855
7/27/2020,Jul,Massachuttces,512,289,7,1057.7524
7/27/2020,Jul,Michigan,581,512,5,1188.2935
7/27/2020,Jul,Minniesota,430,650,2,902.6166
7/27/2020,Jul,Nevada,455,997,5,949.9141
7/27/2020,Jul,New Jersey,412,449,18,868.5624
7/27/2020,Jul,New York,781,608,11,1566.6735
7/27/2020,Jul,North Carolina,609,1625,5,1241.2667
7/27/2020,Jul,Pennsylvania,395,839,4,836.4001
7/27/2020,Jul,Texas,2227,4267,675,4302.3609
7/27/2020,Jul,Utah,415,436,7,874.2381
7/27/2020,Jul,Washington,613,973,7,1248.8343
7/28/2020,Jul,Arizona,400,2107,104,845.8596
7/28/2020,Jul,California,1728,6000,73,3358.3028
7/28/2020,Jul,Colorado,652,229,7,1322.6184
7/28/2020,Jul,Florida,865,9230,191,1725.5931
7/28/2020,Jul,Georgia,1598,4209,54,3112.3558
7/28/2020,Jul,Illinois,1610,1076,30,3135.0586
7/28/2020,Jul,Maryland,253,648,11,567.7503
7/28/2020,Jul,Massachuttces,374,256,15,796.6702
7/28/2020,Jul,Michigan,538,785,16,1106.9418
7/28/2020,Jul,Minniesota,404,478,4,853.4272
7/28/2020,Jul,Nevada,340,1105,20,732.3456
7/28/2020,Jul,New Jersey,407,483,22,859.1029
7/28/2020,Jul,New York,672,534,9,1360.4564
7/28/2020,Jul,North Carolina,423,1749,30,889.3733
7/28/2020,Jul,Pennsylvania,326,1120,24,705.859
7/28/2020,Jul,Texas,1899,8342,164,3681.8177
7/28/2020,Jul,Utah,409,446,5,862.8867
7/28/2020,Jul,Washington,627,909,17,1275.3209
7/29/2020,Jul,Arizona,376,2339,46,800.454
7/29/2020,Jul,California,1628,8755,197,3169.1128
7/29/2020,Jul,Colorado,681,749,11,1377.4835
7/29/2020,Jul,Florida,769,9446,217,1543.9707
7/29/2020,Jul,Georgia,1600,3271,79,3116.1396
7/29/2020,Jul,Illinois,1527,1393,16,2978.0309
7/29/2020,Jul,Maryland,251,761,20,563.9665
7/29/2020,Jul,Massachuttces,356,502,29,762.616
7/29/2020,Jul,Michigan,561,1016,1,1150.4555
7/29/2020,Jul,Minniesota,390,666,9,826.9406
7/29/2020,Jul,Nevada,328,870,21,709.6428
7/29/2020,Jul,New Jersey,386,471,18,819.373
7/29/2020,Jul,New York,572,715,6,1171.2664
7/29/2020,Jul,North Carolina,413,1763,45,870.4543
7/29/2020,Jul,Pennsylvania,313,834,16,681.2643
7/29/2020,Jul,Texas,1747,9042,313,3394.2489
7/29/2020,Jul,Utah,374,339,6,796.6702
7/29/2020,Jul,Washington,596,875,30,1216.672
7/30/2020,Jul,Arizona,413,2525,172,870.4543
7/30/2020,Jul,California,1849,10197,194,3587.2227
7/30/2020,Jul,Colorado,832,482,9,1663.1604
7/30/2020,Jul,Florida,996,9956,252,1973.432
7/30/2020,Jul,Georgia,1723,3963,29,3348.8433
7/30/2020,Jul,Illinois,1816,1772,16,3524.79
7/30/2020,Jul,Maryland,285,892,10,628.2911
7/30/2020,Jul,Massachuttces,478,414,15,993.4278
7/30/2020,Jul,Michigan,596,807,21,1216.672
7/30/2020,Jul,Minniesota,438,745,5,917.7518
7/30/2020,Jul,Nevada,445,1018,21,930.9951
7/30/2020,Jul,New Jersey,474,204,11,985.8602
7/30/2020,Jul,New York,763,777,13,1532.6193
7/30/2020,Jul,North Carolina,601,2344,38,1226.1315
7/30/2020,Jul,Pennsylvania,409,860,14,862.8867
7/30/2020,Jul,Texas,1952,8800,84,3782.0884
7/30/2020,Jul,Utah,439,502,8,919.6437
7/30/2020,Jul,Washington,678,733,7,1371.8078
7/31/2020,Jul,Arizona,423,3212,68,889.3733
7/31/2020,Jul,California,1831,8086,96,3553.1685
7/31/2020,Jul,Colorado,845,408,3,1687.7551
7/31/2020,Jul,Florida,965,9007,257,1914.7831
7/31/2020,Jul,Georgia,1748,4066,81,3396.1408
7/31/2020,Jul,Illinois,1784,1980,22,3464.2492
7/31/2020,Jul,Maryland,284,1169,5,626.3992
7/31/2020,Jul,Massachuttces,517,514,14,1067.2119
7/31/2020,Jul,Michigan,609,793,7,1241.2667
7/31/2020,Jul,Minniesota,444,771,6,929.1032
7/31/2020,Jul,Nevada,457,1264,29,953.6979
7/31/2020,Jul,New Jersey,455,690,11,949.9141
7/31/2020,Jul,New York,768,644,5,1542.0788
7/31/2020,Jul,North Carolina,606,1954,21,1235.591
7/31/2020,Jul,Pennsylvania,384,970,13,815.5892
7/31/2020,Jul,Texas,2164,8839,295,4183.1712
7/31/2020,Jul,Utah,434,500,4,910.1842
7/31/2020,Jul,Washington,668,687,9,1352.8888
8/1/2020,Aug,Arizona,405,2992,53,855.3191
8/1/2020,Aug,California,1938,6542,219,3755.6018
8/1/2020,Aug,Colorado,732,605,0,1473.9704
8/1/2020,Aug,Florida,934,9642,178,1856.1342
8/1/2020,Aug,Georgia,1896,3660,73,3676.142
8/1/2020,Aug,Illinois,1749,1639,8,3398.0327
8/1/2020,Aug,Maryland,265,1019,13,590.4531
8/1/2020,Aug,Massachuttces,480,428,17,997.2116
8/1/2020,Aug,Michigan,629,758,7,1279.1047
8/1/2020,Aug,Minniesota,454,725,6,948.0222
8/1/2020,Aug,Nevada,390,986,2,826.9406
8/1/2020,Aug,New Jersey,419,369,12,881.8057
8/1/2020,Aug,New York,846,753,14,1689.647
8/1/2020,Aug,North Carolina,590,1730,40,1205.3206
8/1/2020,Aug,Pennsylvania,321,888,15,696.3995
8/1/2020,Aug,Texas,2076,9539,268,4016.684
8/1/2020,Aug,Utah,445,506,6,930.9951
8/1/2020,Aug,Washington,770,410,0,1545.8626
8/2/2020,Aug,Arizona,421,1465,18,885.5895
8/2/2020,Aug,California,2014,9032,132,3899.3862
8/2/2020,Aug,Colorado,804,458,0,1610.1872
8/2/2020,Aug,Florida,968,7104,62,1920.4588
8/2/2020,Aug,Georgia,2223,3165,15,4294.7933
8/2/2020,Aug,Illinois,1748,1467,14,3396.1408
8/2/2020,Aug,Maryland,274,909,9,607.4802
8/2/2020,Aug,Massachuttces,596,418,12,1216.672
8/2/2020,Aug,Michigan,712,429,0,1436.1324
8/2/2020,Aug,Minniesota,499,759,8,1033.1577
8/2/2020,Aug,Nevada,471,1131,0,980.1845
8/2/2020,Aug,New Jersey,494,321,6,1023.6982
8/2/2020,Aug,New York,973,531,6,1929.9183
8/2/2020,Aug,North Carolina,600,1341,5,1224.2396
8/2/2020,Aug,Pennsylvania,360,654,5,770.1836
8/2/2020,Aug,Texas,2141,0,0,4139.6575
8/2/2020,Aug,Utah,490,473,1,1016.1306
8/2/2020,Aug,Washington,797,228,28,1596.9439
8/3/2020,Aug,Arizona,432,1030,14,906.4004
8/3/2020,Aug,California,2004,5739,32,3880.4672
8/3/2020,Aug,Colorado,876,449,0,1746.404
8/3/2020,Aug,Florida,973,4752,73,1929.9183
8/3/2020,Aug,Georgia,1983,2258,2,3840.7373
8/3/2020,Aug,Illinois,1990,1298,9,3853.9806
8/3/2020,Aug,Maryland,281,870,8,620.7235
8/3/2020,Aug,Massachuttces,517,199,10,1067.2119
8/3/2020,Aug,Michigan,684,613,6,1383.1592
8/3/2020,Aug,Minniesota,509,613,2,1052.0767
8/3/2020,Aug,Nevada,444,994,15,929.1032
8/3/2020,Aug,New Jersey,414,264,10,872.3462
8/3/2020,Aug,New York,945,545,2,1876.9451
8/3/2020,Aug,North Carolina,485,1313,13,1006.6711
8/3/2020,Aug,Pennsylvania,395,565,0,836.4001
8/3/2020,Aug,Texas,2253,11529,179,4351.5503
8/3/2020,Aug,Utah,479,354,3,995.3197
8/3/2020,Aug,Washington,764,840,4,1534.5112
8/4/2020,Aug,Arizona,401,1008,66,847.7515
8/4/2020,Aug,California,1841,4526,113,3572.0875
8/4/2020,Aug,Colorado,777,252,19,1559.1059
8/4/2020,Aug,Florida,815,5446,247,1630.9981
8/4/2020,Aug,Georgia,1801,2513,79,3496.4115
8/4/2020,Aug,Illinois,1553,1471,19,3027.2203
8/4/2020,Aug,Maryland,185,710,7,439.1011
8/4/2020,Aug,Massachuttces,359,546,9,768.2917
8/4/2020,Aug,Michigan,579,801,8,1184.5097
8/4/2020,Aug,Minniesota,463,602,4,965.0493
8/4/2020,Aug,Nevada,355,980,15,760.7241
8/4/2020,Aug,New Jersey,206,356,11,478.831
8/4/2020,Aug,New York,533,746,3,1097.4823
8/4/2020,Aug,North Carolina,404,1629,28,853.4272
8/4/2020,Aug,Pennsylvania,257,854,23,575.3179
8/4/2020,Aug,Texas,1978,9167,245,3831.2778
8/4/2020,Aug,Utah,455,378,7,949.9141
8/4/2020,Aug,Washington,770,839,4,1545.8626
8/5/2020,Aug,Arizona,414,1698,87,872.3462
8/5/2020,Aug,California,1930,5295,202,3740.4666
8/5/2020,Aug,Colorado,800,426,0,1602.6196
8/5/2020,Aug,Florida,868,5409,225,1731.2688
8/5/2020,Aug,Georgia,1918,3765,63,3717.7638
8/5/2020,Aug,Illinois,1739,1759,28,3379.1137
8/5/2020,Aug,Maryland,262,572,6,584.7774
8/5/2020,Aug,Massachuttces,424,440,2,891.2652
8/5/2020,Aug,Michigan,623,718,7,1267.7533
8/5/2020,Aug,Minniesota,486,617,10,1008.563
8/5/2020,Aug,Nevada,361,649,28,772.0755
8/5/2020,Aug,New Jersey,422,357,7,887.4814
8/5/2020,Aug,New York,869,636,4,1733.1607
8/5/2020,Aug,North Carolina,455,1127,40,949.9141
8/5/2020,Aug,Pennsylvania,351,705,12,753.1565
8/5/2020,Aug,Texas,2065,8706,236,3995.8731
8/5/2020,Aug,Utah,451,421,6,942.3465
8/5/2020,Aug,Washington,738,725,19,1485.3218
8/6/2020,Aug,Arizona,470,1444,70,978.2926
8/6/2020,Aug,California,2001,5258,166,3874.7915
8/6/2020,Aug,Colorado,904,594,7,1799.3772
8/6/2020,Aug,Florida,1013,7650,120,2005.5943
8/6/2020,Aug,Georgia,2013,3182,42,3897.4943
8/6/2020,Aug,Illinois,1779,1953,21,3454.7897
8/6/2020,Aug,Maryland,286,579,15,630.183
8/6/2020,Aug,Massachuttces,478,231,32,993.4278
8/6/2020,Aug,Michigan,678,763,28,1371.8078
8/6/2020,Aug,Minniesota,524,861,7,1080.4552
8/6/2020,Aug,Nevada,474,729,10,985.8602
8/6/2020,Aug,New Jersey,443,374,7,927.2113
8/6/2020,Aug,New York,973,703,6,1929.9183
8/6/2020,Aug,North Carolina,610,1979,42,1243.1586
8/6/2020,Aug,Pennsylvania,437,807,38,915.8599
8/6/2020,Aug,Texas,2410,7598,306,4648.5786
8/6/2020,Aug,Utah,477,587,3,991.5359
8/6/2020,Aug,Washington,752,706,5,1511.8084
8/7/2020,Aug,Arizona,461,1406,79,961.2655
8/7/2020,Aug,California,2059,8436,142,3984.5217
8/7/2020,Aug,Colorado,925,448,12,1839.1071
8/7/2020,Aug,Florida,987,7686,180,1956.4049
8/7/2020,Aug,Georgia,2216,4109,91,4281.55
8/7/2020,Aug,Illinois,1855,2103,31,3598.5741
8/7/2020,Aug,Maryland,287,801,14,632.0749
8/7/2020,Aug,Massachuttces,489,417,18,1014.2387
8/7/2020,Aug,Michigan,690,814,18,1394.5106
8/7/2020,Aug,Minniesota,513,545,4,1059.6443
8/7/2020,Aug,Nevada,465,976,20,968.8331
8/7/2020,Aug,New Jersey,475,360,11,987.7521
8/7/2020,Aug,New York,942,714,5,1871.2694
8/7/2020,Aug,North Carolina,602,1545,42,1228.0234
8/7/2020,Aug,Pennsylvania,407,758,15,859.1029
8/7/2020,Aug,Texas,2390,7039,293,4610.7406
8/7/2020,Aug,Utah,474,460,5,985.8602
8/7/2020,Aug,Washington,752,659,29,1511.8084
8/8/2020,Aug,Arizona,434,1054,56,910.1842
8/8/2020,Aug,California,1927,7371,178,3734.7909
8/8/2020,Aug,Colorado,842,457,7,1682.0794
8/8/2020,Aug,Florida,943,8502,187,1873.1613
8/8/2020,Aug,Georgia,1997,4423,69,3867.2239
8/8/2020,Aug,Illinois,1840,2190,18,3570.1956
8/8/2020,Aug,Maryland,253,775,12,567.7503
8/8/2020,Aug,Massachuttces,401,420,12,847.7515
8/8/2020,Aug,Michigan,617,721,0,1256.4019
8/8/2020,Aug,Minniesota,480,916,8,997.2116
8/8/2020,Aug,Nevada,392,886,29,830.7244
8/8/2020,Aug,New Jersey,429,368,9,900.7247
8/8/2020,Aug,New York,907,703,5,1805.0529
8/8/2020,Aug,North Carolina,604,1954,26,1231.8072
8/8/2020,Aug,Pennsylvania,339,813,16,730.4537
8/8/2020,Aug,Texas,2274,6959,247,4391.2802
8/8/2020,Aug,Utah,436,376,0,913.968
8/8/2020,Aug,Washington,742,366,19,1492.8894
8/9/2020,Aug,Arizona,466,816,13,970.725
8/9/2020,Aug,California,2070,8373,104,4005.3326
8/9/2020,Aug,Colorado,870,431,0,1735.0526
8/9/2020,Aug,Florida,916,6229,77,1822.08
8/9/2020,Aug,Georgia,2160,3169,13,4175.6036
8/9/2020,Aug,Illinois,1878,1382,5,3642.0878
8/9/2020,Aug,Maryland,271,922,8,601.8045
8/9/2020,Aug,Massachuttces,453,329,14,946.1303
8/9/2020,Aug,Michigan,673,535,0,1362.3483
8/9/2020,Aug,Minniesota,510,797,9,1053.9686
8/9/2020,Aug,Nevada,474,811,8,985.8602
8/9/2020,Aug,New Jersey,472,344,5,982.0764
8/9/2020,Aug,New York,982,515,7,1946.9454
8/9/2020,Aug,North Carolina,601,1452,8,1226.1315
8/9/2020,Aug,Pennsylvania,389,760,1,825.0487
8/9/2020,Aug,Texas,2355,4879,116,4544.5241
8/9/2020,Aug,Utah,439,376,1,919.6437
8/9/2020,Aug,Washington,729,195,16,1468.2947
8/10/2020,Aug,Arizona,474,600,4,985.8602
8/10/2020,Aug,California,1940,7751,66,3759.3856
8/10/2020,Aug,Colorado,892,336,0,1776.6744
8/10/2020,Aug,Florida,956,4155,93,1897.756
8/10/2020,Aug,Georgia,1863,2429,30,3613.7093
8/10/2020,Aug,Illinois,1440,1319,1,2813.4356
8/10/2020,Aug,Maryland,264,755,6,588.5612
8/10/2020,Aug,Massachuttces,366,275,6,781.535
8/10/2020,Aug,Michigan,656,580,7,1330.186
8/10/2020,Aug,Minniesota,496,618,3,1027.482
8/10/2020,Aug,Nevada,433,742,6,908.2923
8/10/2020,Aug,New Jersey,418,258,4,879.9138
8/10/2020,Aug,New York,883,476,2,1759.6473
8/10/2020,Aug,North Carolina,584,626,4,1193.9692
8/10/2020,Aug,Pennsylvania,403,601,3,851.5353
8/10/2020,Aug,Texas,2371,4455,31,4574.7945
8/10/2020,Aug,Utah,453,263,9,946.1303
8/10/2020,Aug,Washington,706,803,0,1424.781
8/11/2020,Aug,Arizona,438,1214,45,917.7518
8/11/2020,Aug,California,1831,12500,109,3553.1685
8/11/2020,Aug,Colorado,811,379,10,1623.4305
8/11/2020,Aug,Florida,804,5831,277,1610.1872
8/11/2020,Aug,Georgia,1810,3563,122,3513.4386
8/11/2020,Aug,Illinois,1591,1549,20,3099.1125
8/11/2020,Aug,Maryland,267,585,13,594.2369
8/11/2020,Aug,Massachuttces,344,392,10,739.9132
8/11/2020,Aug,Michigan,565,907,7,1158.0231
8/11/2020,Aug,Minniesota,477,323,6,991.5359
8/11/2020,Aug,Nevada,356,548,18,762.616
8/11/2020,Aug,New Jersey,371,444,12,790.9945
8/11/2020,Aug,New York,777,667,7,1559.1059
8/11/2020,Aug,North Carolina,450,1051,32,940.4546
8/11/2020,Aug,Pennsylvania,352,828,35,755.0484
8/11/2020,Aug,Texas,2050,9803,220,3967.4946
8/11/2020,Aug,Utah,441,362,4,923.4275
8/11/2020,Aug,Washington,697,683,9,1407.7539
8/12/2020,Aug,Arizona,438,706,148,917.7518
8/12/2020,Aug,California,1828,11645,180,3547.4928
8/12/2020,Aug,Colorado,807,402,5,1615.8629
8/12/2020,Aug,Florida,824,8109,213,1648.0252
8/12/2020,Aug,Georgia,1927,3565,105,3734.7909
8/12/2020,Aug,Illinois,1865,1645,15,3617.4931
8/12/2020,Aug,Maryland,243,541,8,548.8313
8/12/2020,Aug,Massachuttces,371,293,18,790.9945
